number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
326,37105265,KIT,Gastrointestinal Stromal Tumor,plasma,_,VOYAGER (N = 476) compared avapritinib with regorafenib in patients with KIT/PDGFRA-mutant GIST previously treated with imatinib and one or two additional TKIs (NCT03465722). KIT/PDGFRA ctDNA mutation profiling of plasma samples at baseline and end of treatment was assessed with 74-gene Guardant360 CDx. Molecular subgroups were determined and correlated with outcomes.,_,"ctDNA-detected KIT ATP-BP mutations negatively prognosticated avapritinib activity, with a median progression-free survival (mPFS) of 1.9 versus 5.6 months for regorafenib. mPFS for regorafenib did not vary regardless of the presence or absence of ATP-BP/A-loop mutants and was greater than mPFS with avapritinib in this population.",_,_,_,_,_
327,33953400,ARAF,Melanoma,_,_,"Here we report the first-in-human phase I study investigating the maximum tolerated dose, and assessing the safety and preliminary efficacy of belvarafenib in BRAFV600E- and RAS-mutated advanced solid tumours",Belvarafenib;ARAF mutations may serve as a general resistance mechanism for RAF dimer inhibitors as the mutants exhibit reduced sensitivity to a panel of type II RAF inhibitors.,_,_,_,_,The combination of RAF plus MEK inhibition may be used to delay ARAF-driven resistance and suggests a rational combination for clinical use.,_
328,12124803,KRAS,Colorectal Cancer,plasma,_,_,_,"The 2-year overall survival rate was 48% in the group where free-circulating tumor-associated DNA was detected in plasma and 100% in the one where free-circulating tumor-associated DNA was not detected in plasma (p < 0.03). In this subgroup of patients, the 2-year recurrence-free survival rate for the 17 patients with free-circulating tumor-associated DNA detected in plasma was 66%, compared to 100% for the 8 patients without free-circulating tumor-associated DNA detected in plasma (p<0.044). The presence of free-circulating tumor-associated DNA in plasma seems to be a relevant prognostic marker for patients with colorectal cancer and may be used to identify patients with a high risk of recurrence.",_,_,_,_,_
329,37007962,GNAS,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
330,37007962,H3F3C,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
331,37007962,BCL2L1,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
332,37007962,LAG3,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
333,37007962,FGF23,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
334,37007962,CCND2,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
335,37007962,SESN1,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
336,37007962,SNHG16,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
337,37007962,MYC,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
338,37007962,HLA-E,Triple Negative Breast Cancer,blood,NGS(Illumina NovaSeq 6000 platform),"From May 2018 to October 2020, patients with advanced TNBC treated with ICIs at Shandong Cancer Hospital were included prospectively. Patient blood samples were obtained at the pretreatment baseline, first response evaluation, and disease progression timepoints. Furthermore, 457 cancer-related genes were evaluated by NGS, and patients＊ ctDNA mutations, gene mutation rates, and other indicators were determined and coupled with clinical data for statistical analysis.",_,"univariate Cox regression analysis revealed that advanced TNBC patients with one of 12 mutant genes (CYP2D6 deletion and GNAS, BCL2L1, H3F3C, LAG3, FGF23, CCND2, SESN1, SNHG16, MYC, HLA-E, and MCL1 gain) had a shorter PFS with ICI treatment (p < 0.05). To some extent, dynamic changes of ctDNA might indicate the efficacy of ICIs.",_,_,_,_,_
339,36915247,TP53,Colorectal Cancer,plasma,NGS,"In this prospective biomarker study, plasma cell-free DNA (cfDNA) samples obtained at baseline, at the first response evaluation after 2 cycles of treatment, and at the time of progressive disease (PD) were sequenced using a targeted next-generation sequencing platform which included 106 genes.",_,"Decreases in the VAF of TP53, APC, TCF7L2, and ROS1 after 2 cycles of regorafenib were associated with longer PFS. We used the sum of VAF at each time point as a surrogate for the overall ctDNA burden. A reduction in sum (VAF) of ≡ 50% after 2 cycles was associated with longer PFS (6.1 vs. 2.7 months, p=0.002), OS (11.3 vs. 5.9 months, p=0.001), and higher disease control rate (86.3% vs. 51.1%, p<0.001).",_,_,_,regorafenib,Reduction in ctDNA burden as estimated by sum (VAF) could be used to predict treatment outcome of regorafenib
